QUARTER,MONTH,DAY_OF_WEEK,CRS_DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DelayedDepartureSFO,ScheduledDepartureSFO,DelayedArrivalPHL,ScheduledArrivalPHL
1,1,3,1,28.0,26.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,6,1,90.0,12.0,5.0,0,1.0,30.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
1,1,4,1,32.0,17.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,6,1,24.0,16.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,1,-1.0,29.0,4.0,0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,1,1,0.0,16.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,-9.0,19.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,4,1,17.0,24.0,3.0,0,1.0,8.0,0.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0
1,1,5,1,2.0,23.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,4,1,1.0,31.0,7.0,0,1.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,1,-5.0,18.0,8.0,0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,6,1,-10.0,18.0,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,1,5.0,17.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,3.0,37.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,0,34.0,22.0,4.0,1,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,0,12.0,24.0,4.0,1,1.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,57.0,30.0,5.0,0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0
1,1,2,0,20.0,19.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,0,48.0,12.0,7.0,1,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,3,0,32.0,26.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,0.0,19.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,2,0,0.0,16.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,0,-6.0,61.0,10.0,1,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,0,1.0,16.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,0,4.0,40.0,8.0,1,1.0,4.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,1,0,-7.0,26.0,5.0,1,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,0,14.0,58.0,2.0,1,1.0,14.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,4,0,5.0,22.0,8.0,1,1.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,0,0.0,18.0,13.0,1,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6,0,-9.0,15.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,18.0,22.0,7.0,1,1.0,0.0,0.0,10.0,0.0,17.0,0.0,0.0,0.0,0.0
1,1,4,1,1.0,20.0,18.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,1,34.0,47.0,6.0,1,1.0,0.0,2.0,9.0,0.0,32.0,0.0,0.0,0.0,1.0
1,1,1,0,54.0,21.0,6.0,1,1.0,5.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
1,1,6,0,184.0,22.0,5.0,1,1.0,144.0,0.0,0.0,0.0,22.0,0.0,3.0,0.0,2.0
1,1,7,0,41.0,43.0,5.0,1,1.0,0.0,6.0,12.0,0.0,35.0,0.0,0.0,0.0,0.0
1,1,1,0,0.0,38.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
1,1,1,0,0.0,23.0,5.0,1,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0,-5.0,31.0,6.0,1,1.0,0.0,0.0,42.0,0.0,0.0,0.0,3.0,0.0,2.0
1,1,3,0,8.0,22.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,0,11.0,24.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,5,0,14.0,31.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0,15.0,27.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
1,1,3,0,-3.0,41.0,9.0,1,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,0,-5.0,17.0,4.0,1,1.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,1.0,4.0
1,1,7,0,-5.0,70.0,11.0,1,1.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,1,190.0,14.0,10.0,0,1.0,170.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
1,1,5,0,46.0,22.0,7.0,1,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,1,1.0,27.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
1,1,3,0,56.0,21.0,6.0,1,1.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,63.0,21.0,6.0,1,1.0,3.0,0.0,0.0,0.0,34.0,0.0,4.0,0.0,0.0
1,1,7,1,146.0,16.0,9.0,0,1.0,33.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0
1,1,4,1,14.0,31.0,5.0,0,1.0,14.0,0.0,12.0,0.0,0.0,1.0,4.0,0.0,0.0
1,1,3,0,7.0,38.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0,-2.0,45.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
1,1,7,1,88.0,21.0,4.0,0,1.0,3.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0
1,1,6,0,276.0,16.0,10.0,1,1.0,0.0,0.0,234.0,0.0,10.0,0.0,4.0,0.0,0.0
1,1,4,0,49.0,26.0,7.0,1,1.0,7.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
1,1,4,1,63.0,15.0,10.0,0,1.0,28.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
1,1,1,0,-6.0,26.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,-1.0,26.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
1,1,7,1,43.0,11.0,6.0,0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,1,24.0,37.0,10.0,0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
1,2,5,1,94.0,17.0,6.0,0,1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,4,0,30.0,16.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,1,73.0,19.0,11.0,0,1.0,10.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,1.0
1,2,3,0,30.0,30.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,0,0.0,66.0,8.0,1,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,1,1,46.0,25.0,4.0,0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0
1,2,1,1,114.0,16.0,8.0,1,1.0,16.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,1.0
1,2,1,1,36.0,27.0,8.0,0,1.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
1,2,5,0,49.0,25.0,5.0,1,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,4,0,47.0,23.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,5,1,10.0,21.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,4,1,48.0,21.0,4.0,1,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,1,26.0,20.0,7.0,0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,0,-6.0,24.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,0,-1.0,21.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,0,171.0,15.0,5.0,1,1.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,1,15.0,29.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,3,1,12.0,24.0,3.0,0,1.0,12.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,5,1,20.0,27.0,5.0,0,1.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,4,1,2.0,36.0,5.0,0,1.0,0.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0
1,2,2,0,-5.0,46.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,4,0,19.0,29.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,0,-9.0,13.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,0,-3.0,15.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,0,27.0,31.0,5.0,1,1.0,27.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,6,0,1.0,29.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,0,21.0,24.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,4,0,57.0,28.0,5.0,1,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
1,2,1,0,-4.0,26.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,0,65.0,31.0,3.0,1,1.0,0.0,0.0,35.0,0.0,14.0,0.0,0.0,0.0,0.0
1,2,3,0,-6.0,26.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,0,34.0,35.0,5.0,1,1.0,0.0,0.0,18.0,0.0,34.0,0.0,0.0,0.0,0.0
1,2,5,0,46.0,23.0,3.0,1,1.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0
1,2,5,0,-2.0,27.0,26.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,6,0,9.0,16.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
1,3,4,1,-1.0,26.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,1,1,-12.0,21.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,7,1,5.0,26.0,7.0,0,1.0,5.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,3,1,0.0,21.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,4,1,10.0,23.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,7,1,25.0,16.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,3,1,6.0,29.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,4,1,2.0,20.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,6,1,-4.0,24.0,5.0,0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,7,1,-6.0,31.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1,1,-7.0,33.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,4,1,5.0,34.0,6.0,0,1.0,2.0,0.0,33.0,0.0,3.0,0.0,0.0,0.0,0.0
1,3,5,1,16.0,19.0,4.0,0,1.0,0.0,0.0,17.0,0.0,16.0,0.0,0.0,0.0,0.0
1,3,3,0,-6.0,57.0,12.0,1,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1,0,2.0,14.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,4,0,12.0,19.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,7,0,15.0,17.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,5,0,56.0,43.0,6.0,1,1.0,56.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,6,0,1.0,16.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,1,0,-1.0,37.0,7.0,1,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,4,0,5.0,25.0,5.0,1,1.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,5,0,51.0,21.0,8.0,1,1.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,3,0,-4.0,38.0,8.0,1,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,5,0,21.0,17.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,3,0,-3.0,23.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,4,0,889.0,12.0,5.0,1,1.0,839.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0
1,3,1,0,0.0,49.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,5,0,99.0,18.0,5.0,1,1.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0
1,3,6,0,-2.0,16.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,7,0,-6.0,28.0,15.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,3,0,-4.0,25.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,4,0,-3.0,23.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,5,0,11.0,22.0,8.0,1,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,5,1,9.0,17.0,8.0,1,1.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,5,1,-6.0,26.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
1,3,4,1,-1.0,42.0,8.0,0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,3,1,35.0,27.0,4.0,1,1.0,1.0,0.0,0.0,0.0,31.0,0.0,3.0,0.0,1.0
1,3,2,1,113.0,19.0,5.0,1,1.0,6.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0
1,3,1,1,4.0,33.0,11.0,0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,2.0
1,3,2,1,3.0,26.0,7.0,0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,7,1,4.0,22.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,3,5,1,9.0,27.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,5,1,5.0,21.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
1,3,4,1,27.0,20.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1,1,-2.0,28.0,6.0,0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,1.0,4.0
1,3,3,1,25.0,32.0,6.0,0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1,1,139.0,28.0,7.0,1,1.0,13.0,0.0,0.0,0.0,108.0,1.0,4.0,0.0,0.0
1,3,7,1,66.0,22.0,4.0,1,1.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
1,3,7,1,5.0,18.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
1,3,6,1,121.0,16.0,13.0,0,1.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,2,1,24.0,11.0,3.0,0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0
2,4,3,1,5.0,29.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,4,1,66.0,17.0,6.0,0,1.0,4.0,0.0,4.0,0.0,46.0,0.0,0.0,0.0,1.0
2,4,4,1,19.0,19.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,1,1,-2.0,38.0,6.0,0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0
2,4,4,1,0.0,27.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,5,1,4.0,35.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,4,6,1,-1.0,32.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,6,0,-7.0,13.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,4,1,0,-5.0,33.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,3,0,12.0,21.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,4,4,0,-5.0,24.0,16.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,5,0,67.0,26.0,7.0,1,1.0,67.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,6,0,33.0,32.0,8.0,1,1.0,33.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,1,0,5.0,30.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,2,0,37.0,42.0,4.0,1,1.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,6,0,9.0,11.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,4,1,0,26.0,13.0,12.0,1,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
2,4,4,0,60.0,20.0,7.0,1,1.0,0.0,0.0,5.0,0.0,38.0,0.0,0.0,0.0,1.0
2,4,5,0,8.0,13.0,17.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,6,0,18.0,20.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,4,4,0,25.0,22.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,5,0,-7.0,21.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,5,0,-2.0,21.0,23.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,6,0,11.0,20.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,4,7,0,30.0,14.0,12.0,1,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
2,4,2,0,37.0,41.0,8.0,1,1.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0
2,4,3,0,46.0,12.0,4.0,1,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
2,4,6,0,-4.0,30.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,7,0,-5.0,56.0,8.0,1,1.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,4,0,-6.0,11.0,49.0,1,1.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,7,0,42.0,15.0,5.0,1,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,4,0,2.0,26.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,4,2,0,87.0,12.0,7.0,1,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,2,0,-9.0,31.0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
2,4,7,1,46.0,27.0,10.0,1,1.0,4.0,0.0,5.0,0.0,42.0,0.0,0.0,0.0,0.0
2,4,6,1,-9.0,29.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
2,4,5,1,56.0,42.0,4.0,1,1.0,0.0,0.0,5.0,0.0,52.0,0.0,0.0,0.0,0.0
2,4,5,1,7.0,18.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
2,4,3,1,26.0,25.0,8.0,0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
2,4,3,1,169.0,13.0,7.0,1,1.0,10.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,1.0
2,4,6,1,166.0,15.0,12.0,1,1.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,2,1,25.0,27.0,12.0,1,1.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,1.0,4.0
