QUARTER,MONTH,DAY_OF_WEEK,CRS_DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DelayedDepartureSFO,ScheduledDepartureSFO,DelayedArrivalPHL,ScheduledArrivalPHL
3,8,4,0,14.0,25.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
3,8,2,0,-6.0,21.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,1,1,2.0,31.0,7.0,0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,2.0,0.0,2.0
3,8,5,1,-3.0,37.0,13.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,5,0,10.0,75.0,5.0,1,1.0,0.0,0.0,112.0,0.0,0.0,1.0,2.0,0.0,3.0
3,8,4,1,-2.0,37.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,5,1,93.0,18.0,6.0,0,1.0,1.0,0.0,0.0,0.0,48.0,0.0,2.0,1.0,4.0
3,8,4,1,7.0,35.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,4,1,39.0,16.0,12.0,1,1.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
3,8,3,1,32.0,30.0,4.0,0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
3,8,3,0,23.0,27.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0
3,8,5,1,7.0,47.0,9.0,0,1.0,7.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,5,0,103.0,49.0,13.0,1,1.0,0.0,0.0,49.0,0.0,87.0,1.0,3.0,0.0,1.0
3,8,4,1,11.0,73.0,9.0,0,1.0,11.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,4,0,23.0,27.0,9.0,1,1.0,21.0,0.0,7.0,0.0,2.0,0.0,3.0,0.0,1.0
3,8,3,1,46.0,23.0,6.0,0,1.0,7.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
3,8,3,0,213.0,27.0,5.0,1,1.0,0.0,0.0,208.0,0.0,0.0,0.0,4.0,0.0,1.0
3,8,2,0,-9.0,41.0,10.0,1,1.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,2,1,43.0,42.0,4.0,1,1.0,0.0,0.0,75.0,0.0,31.0,0.0,4.0,0.0,1.0
3,8,2,0,-5.0,104.0,8.0,1,1.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,1,1,-7.0,25.0,7.0,0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,3.0,0.0,1.0
3,8,1,1,7.0,39.0,4.0,1,1.0,7.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,1,0,-8.0,35.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
3,8,7,1,19.0,30.0,6.0,0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
3,8,7,1,24.0,16.0,11.0,1,1.0,1.0,0.0,0.0,0.0,14.0,1.0,3.0,1.0,1.0
3,8,3,0,32.0,26.0,5.0,1,1.0,15.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0
3,8,2,1,76.0,24.0,5.0,0,1.0,0.0,0.0,0.0,0.0,57.0,0.0,4.0,0.0,1.0
3,8,2,1,42.0,36.0,5.0,0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,7,1,1.0,32.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
3,8,2,0,17.0,30.0,7.0,1,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
3,8,1,1,-1.0,35.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
3,8,1,0,90.0,16.0,17.0,1,1.0,56.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
3,8,7,1,9.0,39.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,8,7,1,42.0,22.0,5.0,1,1.0,0.0,0.0,17.0,0.0,7.0,0.0,0.0,0.0,0.0
3,8,1,0,-7.0,20.0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
3,8,7,1,12.0,38.0,7.0,0,1.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,7,0,-2.0,22.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
3,8,6,1,66.0,12.0,7.0,0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,6,0,8.0,16.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,8,5,1,-2.0,43.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,2,0,54.0,30.0,3.0,1,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0
3,9,6,0,2.0,18.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,5,1,6.0,22.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,9,5,1,7.0,42.0,3.0,1,1.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,5,0,53.0,42.0,7.0,1,1.0,53.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
3,9,4,1,-5.0,41.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,5,1,6.0,32.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,9,5,0,-1.0,36.0,6.0,1,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1,1,22.0,24.0,3.0,0,1.0,0.0,0.0,5.0,0.0,21.0,0.0,0.0,0.0,1.0
3,9,4,1,11.0,30.0,43.0,0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,7,1,28.0,42.0,9.0,0,1.0,0.0,0.0,18.0,0.0,28.0,0.0,0.0,0.0,1.0
3,9,3,1,25.0,33.0,4.0,0,1.0,0.0,0.0,11.0,0.0,25.0,0.0,0.0,0.0,0.0
3,9,4,1,-8.0,33.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,7,1,-11.0,49.0,11.0,0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,3,1,34.0,17.0,9.0,0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,2,1,-2.0,19.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,4,1,17.0,38.0,6.0,0,1.0,0.0,0.0,16.0,0.0,17.0,0.0,0.0,0.0,1.0
3,9,5,1,82.0,13.0,5.0,0,1.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,5,1,-6.0,27.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,9,7,1,2.0,53.0,4.0,0,1.0,2.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1,1,-5.0,30.0,8.0,0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0
3,9,2,1,5.0,19.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,3,1,3.0,28.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,4,1,30.0,32.0,4.0,0,1.0,0.0,0.0,20.0,0.0,30.0,0.0,0.0,0.0,0.0
3,9,6,1,-3.0,45.0,11.0,0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0
3,9,7,1,-1.0,21.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1,1,18.0,25.0,6.0,0,1.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0
3,9,2,1,-3.0,30.0,10.0,0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,3,1,8.0,23.0,4.0,0,1.0,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,4,1,4.0,30.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,5,1,7.0,20.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1,1,-10.0,44.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,2,1,-5.0,32.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,9,3,1,111.0,28.0,3.0,0,1.0,95.0,0.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0
3,9,4,1,21.0,37.0,4.0,0,1.0,5.0,0.0,6.0,0.0,16.0,0.0,3.0,0.0,2.0
3,9,5,1,-2.0,23.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,6,1,-2.0,20.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
3,9,7,1,-5.0,20.0,8.0,0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1,1,8.0,20.0,9.0,0,1.0,0.0,0.0,10.0,0.0,8.0,0.0,3.0,0.0,2.0
3,9,6,0,-3.0,20.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,2,0,2.0,19.0,11.0,0,1.0,2.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0
3,9,4,0,22.0,13.0,4.0,0,1.0,0.0,0.0,7.0,0.0,22.0,0.0,0.0,0.0,0.0
3,9,1,0,-3.0,28.0,6.0,0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,1.0,4.0
3,9,5,0,-3.0,19.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,7,0,-6.0,22.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
3,9,1,0,-2.0,31.0,22.0,1,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,2,0,-5.0,33.0,7.0,1,1.0,0.0,0.0,24.0,0.0,0.0,1.0,4.0,0.0,0.0
3,9,4,0,-4.0,24.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,6,0,25.0,16.0,3.0,1,1.0,22.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
3,9,7,0,-3.0,15.0,14.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1,0,1.0,21.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
3,9,4,0,-4.0,21.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,5,0,-1.0,31.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
3,9,2,0,-7.0,29.0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,4,0,-6.0,25.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
3,9,5,0,10.0,21.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1,0,-3.0,39.0,7.0,1,1.0,0.0,0.0,34.0,0.0,0.0,0.0,4.0,0.0,0.0
3,9,4,0,-7.0,30.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,5,0,5.0,32.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
3,9,5,0,0.0,23.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,6,0,-4.0,25.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
3,9,2,0,-4.0,29.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,4,0,-7.0,21.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
3,9,1,0,-9.0,22.0,14.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,5,0,-9.0,18.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
3,9,6,0,-5.0,32.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,7,0,-2.0,17.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
3,9,4,0,0.0,27.0,7.0,1,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,5,0,-5.0,29.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0
3,9,6,0,22.0,27.0,3.0,1,1.0,22.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,7,0,-6.0,37.0,9.0,1,1.0,0.0,0.0,21.0,0.0,0.0,1.0,3.0,0.0,2.0
3,9,3,0,-8.0,18.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,5,0,50.0,15.0,17.0,1,1.0,0.0,0.0,11.0,0.0,50.0,0.0,3.0,0.0,2.0
3,9,6,0,50.0,12.0,5.0,1,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,2,0,-4.0,35.0,5.0,1,1.0,0.0,0.0,21.0,0.0,0.0,1.0,2.0,0.0,2.0
3,9,3,0,-2.0,38.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,5,0,74.0,14.0,3.0,1,1.0,0.0,0.0,0.0,0.0,45.0,1.0,2.0,0.0,3.0
3,9,6,0,7.0,24.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,7,0,0.0,22.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
3,9,1,0,-5.0,26.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,2,0,16.0,28.0,5.0,1,1.0,16.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0
3,9,4,0,1.0,35.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,6,0,-1.0,16.0,16.0,1,1.0,0.0,0.0,40.0,0.0,0.0,1.0,2.0,1.0,3.0
3,9,7,0,-4.0,29.0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1,0,106.0,14.0,23.0,1,1.0,0.0,0.0,0.0,0.0,104.0,1.0,3.0,0.0,1.0
3,9,3,0,-7.0,38.0,20.0,1,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,4,0,-11.0,52.0,5.0,1,1.0,0.0,0.0,33.0,0.0,0.0,0.0,3.0,0.0,1.0
3,9,5,0,-7.0,27.0,16.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,6,0,-3.0,28.0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
3,9,7,0,-4.0,25.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,5,0,35.0,29.0,4.0,1,1.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,1.0
3,9,2,1,-2.0,56.0,8.0,1,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,4,0,4.0,20.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
3,9,3,1,49.0,53.0,10.0,1,1.0,49.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,3,0,2.0,28.0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
3,9,2,1,-8.0,26.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1,1,167.0,15.0,6.0,0,1.0,0.0,167.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0
3,9,1,0,25.0,15.0,5.0,1,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,7,1,-6.0,40.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
3,9,1,0,40.0,20.0,7.0,1,1.0,12.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
3,9,7,1,-6.0,43.0,8.0,0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,3.0,0.0,1.0
3,9,5,1,4.0,31.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,5,1,-4.0,28.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
3,9,7,0,-1.0,26.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,6,1,47.0,14.0,7.0,1,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,9,5,1,-1.0,34.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,4,1,-2.0,35.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
3,9,3,1,12.0,35.0,6.0,1,1.0,12.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,3,1,9.0,30.0,5.0,0,1.0,9.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,2.0
3,9,3,1,80.0,23.0,8.0,1,1.0,5.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0
3,9,3,1,25.0,45.0,6.0,0,1.0,0.0,0.0,14.0,0.0,25.0,0.0,0.0,0.0,1.0
3,9,1,1,82.0,27.0,6.0,1,1.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0
3,9,1,1,-2.0,47.0,9.0,0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,3.0,0.0,2.0
4,10,4,0,24.0,13.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10,2,1,20.0,25.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,0,-1.0,24.0,5.0,1,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10,3,1,24.0,33.0,5.0,1,1.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,3,1,0.0,30.0,7.0,0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10,2,0,12.0,32.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,1,1,62.0,24.0,3.0,1,1.0,3.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0
4,10,7,1,8.0,29.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,1,1,-9.0,33.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10,3,1,21.0,23.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,1,29.0,16.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10,7,1,12.0,43.0,7.0,0,1.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,1,1,3.0,28.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,7,1,-3.0,23.0,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,1,1.0,21.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,6,1,-1.0,19.0,9.0,0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,1,-2.0,21.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10,5,1,16.0,17.0,10.0,0,1.0,16.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,1,0,30.0,18.0,5.0,1,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10,2,0,-11.0,35.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,6,0,4.0,22.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10,1,0,1.0,37.0,16.0,1,1.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,0,24.0,28.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,5,0,113.0,19.0,6.0,1,1.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,7,0,154.0,16.0,15.0,1,1.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10,1,0,169.0,37.0,14.0,1,1.0,169.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,0,26.0,19.0,9.0,1,1.0,26.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10,5,0,66.0,23.0,3.0,1,1.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,7,0,-1.0,22.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,1,0,10.0,18.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,2,0,-2.0,21.0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,3,0,-11.0,39.0,9.0,1,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,0,18.0,18.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10,6,0,2.0,20.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,1,0,-6.0,42.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
4,10,5,0,22.0,35.0,4.0,1,1.0,22.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,6,0,-4.0,37.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
4,10,1,0,-3.0,34.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,3,0,52.0,13.0,7.0,1,1.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
4,10,4,0,59.0,24.0,5.0,1,1.0,59.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,1,0,89.0,15.0,11.0,1,1.0,89.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,10,2,0,2.0,26.0,9.0,1,1.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
