QUARTER,MONTH,DAY_OF_WEEK,CRS_DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DelayedDepartureSFO,ScheduledDepartureSFO,DelayedArrivalPHL,ScheduledArrivalPHL
4,10,3,0,-11.0,26.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
4,10,5,0,-4.0,17.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,7,0,3.0,29.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
4,10,5,0,-4.0,30.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,7,0,-8.0,34.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
4,10,1,0,-5.0,41.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,2,0,-7.0,64.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
4,10,4,0,150.0,19.0,6.0,1,1.0,12.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0
4,10,5,0,86.0,15.0,4.0,1,1.0,0.0,0.0,0.0,0.0,41.0,0.0,4.0,0.0,0.0
4,10,6,0,0.0,26.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,1,0,0.0,32.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
4,10,3,0,-6.0,40.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,0,74.0,17.0,5.0,1,1.0,0.0,0.0,0.0,0.0,55.0,0.0,4.0,0.0,0.0
4,10,7,0,-4.0,43.0,8.0,1,1.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,1,0,-4.0,32.0,21.0,1,1.0,0.0,0.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0
4,10,2,0,-1.0,48.0,9.0,1,1.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,3,0,-8.0,36.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
4,10,5,0,-2.0,26.0,9.0,1,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,6,0,-7.0,30.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
4,10,7,0,47.0,39.0,6.0,1,1.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,1,0,1.0,29.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
4,10,4,1,37.0,16.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,3,1,23.0,34.0,4.0,0,1.0,21.0,0.0,25.0,0.0,0.0,0.0,4.0,0.0,0.0
4,10,1,1,-3.0,31.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,7,1,14.0,35.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
4,10,1,1,-4.0,23.0,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,2,0,-7.0,29.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0
4,10,1,1,45.0,20.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,7,1,89.0,19.0,6.0,1,1.0,74.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0
4,10,7,0,73.0,18.0,9.0,1,1.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,5,1,16.0,20.0,8.0,0,1.0,16.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,2.0
4,10,6,1,54.0,19.0,8.0,1,1.0,6.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
4,10,4,1,125.0,15.0,10.0,0,1.0,0.0,0.0,0.0,0.0,81.0,1.0,2.0,0.0,2.0
4,10,5,0,4.0,43.0,11.0,1,1.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,1,2.0,38.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0
4,10,4,1,4.0,42.0,4.0,0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,3,1,-4.0,25.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
4,10,2,1,75.0,17.0,11.0,1,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,2,1,-2.0,28.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
4,10,2,0,-8.0,15.0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,1,1,-7.0,35.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0
4,10,2,1,35.0,17.0,9.0,0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
4,10,7,1,-3.0,49.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0
4,10,6,1,9.0,18.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,6,1,-9.0,24.0,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
4,10,5,1,126.0,17.0,6.0,1,1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,5,0,11.0,24.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
4,10,4,1,48.0,26.0,8.0,1,1.0,48.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,1,200.0,39.0,4.0,0,1.0,7.0,0.0,17.0,0.0,193.0,0.0,4.0,0.0,1.0
4,10,5,1,0.0,48.0,5.0,1,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,5,1,39.0,12.0,6.0,0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
4,11,6,0,45.0,17.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,11,7,0,0.0,26.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,6,0,14.0,27.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,11,7,0,20.0,30.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,3,0,-6.0,27.0,17.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,11,7,0,-5.0,45.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,6,0,-1.0,23.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,11,7,0,-2.0,31.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,1,0,-3.0,25.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,11,2,0,0.0,31.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,6,0,-8.0,35.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,11,4,0,3.0,42.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,5,0,37.0,46.0,6.0,1,1.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0
4,11,2,0,3.0,30.0,21.0,1,1.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,3,0,-5.0,22.0,16.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,5,0,57.0,35.0,7.0,1,1.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0
4,11,2,0,-2.0,37.0,3.0,1,1.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0
4,11,7,0,74.0,64.0,8.0,1,1.0,0.0,0.0,51.0,0.0,74.0,0.0,0.0,0.0,0.0
4,11,4,0,78.0,16.0,7.0,1,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,11,4,1,-1.0,35.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,3,0,-7.0,28.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,11,2,1,-8.0,26.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,2,0,-3.0,28.0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,1,1,7.0,56.0,9.0,0,1.0,7.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,4,0,-3.0,52.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,11,3,1,33.0,22.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,2,1,37.0,20.0,12.0,0,1.0,4.0,0.0,5.0,0.0,33.0,0.0,0.0,0.0,1.0
4,11,2,0,-4.0,29.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,7,1,82.0,19.0,6.0,1,1.0,0.0,0.0,1.0,0.0,69.0,0.0,0.0,0.0,0.0
4,11,7,0,60.0,34.0,5.0,1,1.0,0.0,0.0,12.0,0.0,51.0,0.0,0.0,0.0,0.0
4,11,7,1,14.0,33.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,7,0,24.0,40.0,6.0,1,1.0,0.0,0.0,9.0,0.0,24.0,0.0,0.0,0.0,0.0
4,11,3,1,-5.0,69.0,4.0,0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0
4,11,1,1,34.0,21.0,5.0,0,1.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
4,11,7,1,0.0,29.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
4,11,5,1,252.0,24.0,7.0,1,1.0,2.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0
4,11,5,0,11.0,33.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
4,11,7,1,97.0,13.0,5.0,0,1.0,53.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
4,11,7,0,-2.0,23.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
4,11,5,1,82.0,34.0,9.0,1,1.0,0.0,0.0,1.0,0.0,74.0,0.0,0.0,0.0,0.0
4,11,4,0,68.0,31.0,10.0,1,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,11,4,1,21.0,47.0,9.0,0,1.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
4,11,2,1,62.0,17.0,8.0,1,1.0,4.0,0.0,0.0,0.0,24.0,0.0,1.0,1.0,4.0
4,11,6,1,-16.0,18.0,47.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,7,1,-5.0,38.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
4,11,1,1,-6.0,37.0,34.0,0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,3,1,17.0,33.0,7.0,0,1.0,5.0,0.0,2.0,0.0,12.0,1.0,4.0,0.0,0.0
4,11,7,1,-1.0,29.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,1,1,12.0,30.0,43.0,0,1.0,42.0,0.0,4.0,0.0,8.0,0.0,4.0,0.0,0.0
4,11,2,1,-1.0,26.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,7,1,59.0,36.0,12.0,0,1.0,3.0,0.0,11.0,0.0,56.0,0.0,4.0,0.0,0.0
4,11,5,1,36.0,29.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,1,1,26.0,23.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
4,11,4,1,23.0,28.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,7,1,12.0,25.0,4.0,0,1.0,12.0,0.0,27.0,0.0,0.0,0.0,4.0,0.0,0.0
4,11,3,1,120.0,23.0,18.0,0,1.0,2.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0
4,11,3,1,36.0,27.0,3.0,0,1.0,0.0,5.0,1.0,0.0,31.0,0.0,4.0,0.0,0.0
4,11,4,1,85.0,44.0,4.0,0,1.0,80.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0
4,11,5,1,6.0,21.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
4,11,1,1,7.0,27.0,9.0,0,1.0,3.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0
4,11,2,1,-2.0,30.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
4,11,5,1,41.0,18.0,6.0,0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,6,1,-5.0,35.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
4,11,7,1,4.0,32.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,1,1,3.0,45.0,7.0,0,1.0,2.0,0.0,20.0,0.0,1.0,0.0,4.0,0.0,0.0
4,12,7,1,10.0,22.0,7.0,0,1.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
4,12,1,1,-3.0,28.0,10.0,0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,2,1,-10.0,30.0,8.0,0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0
4,12,4,1,-11.0,35.0,5.0,0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,5,1,22.0,16.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,12,1,1,-5.0,27.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,2,1,40.0,39.0,5.0,0,1.0,26.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,1.0
4,12,2,1,18.0,32.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,7,1,-1.0,32.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,12,4,1,-7.0,31.0,8.0,0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,5,1,-6.0,25.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,12,4,1,12.0,20.0,2.0,0,1.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,5,1,17.0,17.0,14.0,0,1.0,17.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,6,1,-8.0,20.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,1,1,-4.0,24.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,2,1,0.0,22.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,4,1,4.0,22.0,5.0,0,1.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0
4,12,5,1,37.0,14.0,7.0,0,1.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
4,12,6,1,27.0,14.0,4.0,0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,12,7,1,-4.0,32.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,1,1,12.0,28.0,8.0,0,1.0,0.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0,1.0
4,12,2,1,10.0,37.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,4,1,4.0,34.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,5,1,9.0,38.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,2,1,23.0,40.0,2.0,0,1.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4,12,3,1,51.0,41.0,4.0,0,1.0,13.0,0.0,4.0,0.0,38.0,0.0,0.0,0.0,0.0
4,12,1,0,325.0,10.0,4.0,0,1.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,12,4,0,-8.0,47.0,6.0,1,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,7,0,4.0,19.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,1,0,2.0,30.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,2,0,-6.0,28.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,4,0,-5.0,35.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,5,0,27.0,16.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,12,4,0,-8.0,21.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,5,0,-1.0,40.0,1.0,1,1.0,0.0,0.0,36.0,0.0,0.0,0.0,3.0,0.0,2.0
4,12,7,0,-8.0,23.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,4,0,-2.0,27.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
4,12,5,0,23.0,35.0,9.0,1,1.0,23.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,7,0,9.0,40.0,11.0,1,1.0,9.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,2.0
4,12,3,0,5.0,41.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,5,0,33.0,20.0,6.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,12,7,0,119.0,15.0,4.0,1,1.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0
4,12,1,0,-4.0,34.0,14.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
4,12,2,0,18.0,29.0,4.0,1,1.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,3,0,-5.0,38.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
4,12,4,0,156.0,33.0,4.0,1,1.0,156.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,5,0,-3.0,29.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
4,12,2,0,-6.0,29.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,5,0,-4.0,33.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
4,12,1,0,1.0,24.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,3,0,23.0,30.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
4,12,3,0,67.0,16.0,4.0,1,1.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
4,12,3,1,17.0,54.0,4.0,0,1.0,17.0,0.0,14.0,0.0,0.0,1.0,4.0,0.0,0.0
4,12,4,0,-7.0,33.0,5.0,1,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,3,0,-4.0,26.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
4,12,2,1,70.0,11.0,4.0,0,1.0,2.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0
4,12,2,0,-8.0,33.0,6.0,1,1.0,0.0,0.0,25.0,0.0,0.0,0.0,4.0,0.0,0.0
4,12,1,1,-2.0,25.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,1,0,-2.0,32.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
4,12,7,1,-6.0,33.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,2,1,1.0,47.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
4,12,7,0,-1.0,24.0,5.0,1,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,5,1,-9.0,40.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
4,12,5,0,-2.0,23.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,4,1,-5.0,31.0,7.0,0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0
4,12,4,0,54.0,47.0,5.0,1,1.0,0.0,0.0,56.0,0.0,29.0,0.0,0.0,0.0,0.0
4,12,4,1,-4.0,52.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
4,12,4,1,81.0,20.0,5.0,0,1.0,5.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0
4,12,4,0,23.0,29.0,6.0,1,1.0,20.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0
4,12,3,0,-1.0,39.0,5.0,1,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,2,0,-6.0,36.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0
4,12,1,0,14.0,45.0,8.0,1,1.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,2,0,10.0,21.0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
4,12,1,1,-5.0,29.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,7,1,0.0,27.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
4,12,5,0,35.0,29.0,10.0,1,1.0,35.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,4,1,0.0,27.0,5.0,0,1.0,0.0,0.0,20.0,0.0,0.0,1.0,2.0,0.0,3.0
